NAME_E,area,ha
Vaseux Protected Area,19940453.224456,1994.0453224456012
Sydney Inlet Park,19894639.9731197,1989.4639973119658
Purcell Wilderness Conservancy Park Corridor Protected Area,19881074.9779725,1988.1074977972507
Lanz And Cox Islands Park,19467592.6350363,1946.7592635036283
Maxtaktsm'Aa/Union Passage Conservancy,19415604.6881966,1941.5604688196565
Mount Terry Fox Park,19306628.2277298,1930.6628227729798
"Columbia Lake Westside - A, Sublot E",19305517.6461627,1930.5517646162673
Kamdis Conservancy,18958324.1005225,1895.8324100522489
Kinaskan Lake Park,18629325.0289174,1862.9325028917401
Machmell Conservancy,18143632.0829142,1814.3632082914212
Pukeashun Park,17790951.0112844,1779.095101128435
Dragon Mountain Park,17728815.7603585,1772.8815760358486
Mount Griffin Park,17587616.1637454,1758.7616163745404
Ekwan Lake Protected Area,17425836.0071846,1742.5836007184564
Burnt Bridge Creek Conservancy,17038043.7904639,1703.8043790463914
Hisnit River Watershed Protected Area,16808296.2899512,1680.8296289951206
Wilkinson-Wright Bay Conservancy,16641218.2318894,1664.1218231889386
Bligh Island Marine Park,16517892.1629267,1651.789216292669
Emar Lakes Park,16175478.6360202,1617.5478636020155
Momich Lakes Park,16049221.0973597,1604.9221097359705
Nooseseck Conservancy,16035310.8423104,1603.5310842310369
Patterson Lake Park,15876309.6180115,1587.6309618011464
Dahl Lake Park,15846394.3454861,1584.6394345486096
Exchamsiks River Protected Area,15596532.481064,1559.6532481063955
Vargas Island Park,15427517.4374202,1542.7517437420186
Klewnuggit Inlet Marine Park,15089520.2410128,1508.9520241012767
Darke Lake Park,15041433.9402869,1504.1433940286875
Kingfisher Creek Ecological Reserve,14956956.8116489,1495.6956811648936
Joffre Lakes Park,14884244.523266,1488.4244523265954
Champion Lakes Park,14528976.1748691,1452.897617486906
Grayling River Hot Springs Ecological Reserve,14211259.7501547,1421.1259750154734
Cowichan River Park,14082747.260133,1408.2747260132994
Smith River Ecological Reserve,13902537.3921749,1390.2537392174863
Phillips Estuary/?Nacinuxw Conservancy,13704853.8482628,1370.485384826284
Bobtail Mountain Park,13609000.3830566,1360.900038305664
Juan De Fuca Park,13579803.333746,1357.9803333745995
Kootenay River Ranch,13395534.3472676,1339.5534347267628
Ptarmigan Protected Area,13060474.947199,1306.0474947199004
Ospika Cones Ecological Reserve,12832657.5517348,1283.2657551734783
Lower Raush Protected Area,12791484.9658212,1279.1484965821203
Kt'Ii/Racey Conservancy,12534063.6271977,1253.4063627197736
Mount Griffin Ecological Reserve,12530396.8824045,1253.0396882404498
Pennask Creek Park,12426715.5118519,1242.6715511851874
Cornwall Hills Park,12357873.9389762,1235.7873938976168
Sulphur Passage Park,12355149.3930511,1235.514939305107
Lax Kwil Dziidz/Fin Conservancy,12344950.1773194,1234.4950177319408
Sasquatch Park,12318362.2915565,1231.8362291556527
Emily Lake Conservancy,12307746.4558452,1230.7746455845202
Codville Lagoon Conservancy,12187437.7133582,1218.7437713358179
Stagleap Park,12027277.8445013,1202.7277844501336
Scatter River Old Growth Park,11775215.1934173,1177.5215193417312
Redbrush Park,11651246.2125336,1165.1246212533592
French Bar Creek Park,11594039.4241455,1159.4039424145549
Bocock Peak Park,11431116.4610375,1143.1116461037454
Este-Tiwilh/Sigurd Creek Conservancy,11390256.6326814,1139.025663268137
South Texada Island Park,10951386.2951838,1095.1386295183827
Narcosli Lake Ecological Reserve,10903899.2660006,1090.3899266000594
Titetown Park,10698226.572626,1069.822657262599
Elk Falls Park,10548582.6355934,1054.8582635593436
Marble River Park,10545251.0542285,1054.525105422854
Hathayim Marine Park [A.K.A. Von Donop Marine Park],10389454.8799237,1038.9454879923733
Eneas Lakes Park,10356683.3904307,1035.6683390430749
Lhai:Lt/Harrison-Chehalis Wildlife Management Area,10354156.9733553,1035.415697335527
I7Loqaw7/100 Lakes Plateau Conservancy,10304636.9693333,1030.4636969333276
Foster Arm Protected Area,10204944.3208138,1020.4944320813809
Union Passage Marine Park,10172481.0860702,1017.2481086070169
Erg Mountain Park,10118791.4212756,1011.8791421275615
Columbia National Wildlife Area,10018780.4608386,1001.8780460838631
Mount Richardson Park,10006169.5767534,1000.616957675338
Big Basin Park,9975966.63000071,997.5966630000711
Quesnel Lake Park,9924365.58448466,992.4365584484661
Bridge River Delta Park,9920938.58554646,992.0938585546463
Crooked River Park,9703843.22494792,970.3843224947916
Gamble Creek Ecological Reserve,9699062.16021926,969.9062160219263
Three Sisters Lakes Park,9687096.28633918,968.7096286339182
Elephant Hill Park,9684561.56480809,968.4561564808095
Goose Bay Conservancy,9678281.27106987,967.8281271069869
Blue/Dease Rivers Ecological Reserve,9659156.90415248,965.9156904152483
Big White Mountain Ecological Reserve,9568115.05955327,956.8115059553265
Gowlland Tod Park,9552536.21815034,955.2536218150344
Penrose Island Marine Park,9454018.63376361,945.4018633763608
Shuswap Lake Marine Park,9391427.71911687,939.1427719116871
Soap Lake Ecological Reserve,9365959.72621979,936.5959726219792
Mahpahkum-Ahkwuna/Deserters-Walker Conservancy,9305673.70555862,930.5673705558625
Bert Brink Wildlife Management Area,9152259.48654255,915.2259486542553
South Okanagan Wildlife Management Area,9042077.92509492,904.2077925094925
Lew Creek Ecological Reserve,8971335.81712282,897.1335817122817
Haley Lake Ecological Reserve,8928310.66626571,892.8310666265708
Fraser River Breaks Park,8834310.97999353,883.4310979993534
Long Island Conservancy,8501087.57076812,850.1087570768118
Skwaha Lake Ecological Reserve,8497617.41420245,849.7617414202451
Premier Lake Park,8365353.98216595,836.5353982165947
Restoration Bay Conservancy,8247934.88243451,824.7934882434508
South Arm Marshes Wildlife Management Area,8232445.08215778,823.2445082157776
Damaxyaa Conservancy,8229736.40285707,822.9736402857072
Sanctuary Bay Conservancy,8202720.24314415,820.2720243144155
Border Lake Park,8145591.71777543,814.5591717775434
Donnely Lake Park,8141475.61856615,814.1475618566151
Drizzle Lake Ecological Reserve,8130346.28920373,813.0346289203733
Sheemahant Conservancy,8117053.33695389,811.7053336953886
Vaseux-Bighorn National Wildlife Area,8040229.98361296,804.0229983612961
Owyacumish River Park,8037679.95301002,803.7679953010023
Stair Creek Conservancy,7902181.30389918,790.2181303899179
Kikomun Creek Park,7704855.19704098,770.4855197040982
Duck Lake Protected Area,7683579.83157286,768.3579831572858
Beaver Valley Park,7675242.83824283,767.5242838242829
Brackendale Eagles Park,7644884.51903071,764.4884519030707
Northern Rocky Mountains Protected Area,7638048.47505817,763.8048475058168
Small Inlet Marine Park,7546687.58026949,754.6687580269493
Pemberton Wetlands Wildlife Management Area,7542841.44444627,754.2841444446266
Lax Kul Nii Luutiksm/Bonilla Conservancy,7406760.5987344,740.6760598734401
Portage Brule Rapids Ecological Reserve,7243855.07456154,724.3855074561536
Kitwanga Mountain Park,7171978.90131502,717.1978901315018
Chilanko Marsh Wildlife Management Area,7160925.06934279,716.0925069342788
Williams Creek Ecological Reserve,6996702.8777548,699.6702877754798
Blue Earth Lake Park,6893096.53820491,689.3096538204907
Ancient Forest/Chun T'Oh Whudujut Protected Area,6885496.4516018,688.5496451601804
Burnt Cabin Bog Ecological Reserve,6725847.51927282,672.5847519272822
Copper Johnny Park,6560246.96242142,656.0246962421418
Gold Muchalat Park,6446505.54600286,644.6505546002865
Mudzenchoot Park,6442266.13925183,644.2266139251828
Dall River Old Growth Park,6438876.0540012,643.8876054001197
Dunlevy - 1990,6397007.89434117,639.700789434117
Read Island Park,6383536.71947932,638.3536719479323
Qwiquallaaq/Boat Bay Conservancy,6349059.16582892,634.9059165828921
Skwelwil'Em Squamish Estuary,6234801.55421023,623.4801554210233
Jackman Flats Park,6125444.5727542,612.5444572754204
Maxhamish Lake Park,6052608.07493855,605.2608074938547
Quatsino Park,6030617.52947959,603.0617529479588
Tsitika Mountain Ecological Reserve,5975667.22669597,597.566722669597
Sgaay Taw Siiwaay K'Adjuu Conservancy,5966450.00912536,596.6450009125363
Elk Valley Heritage Conservation Area - Fee Simple,5939056.84047431,593.9056840474314
Mount Derby Ecological Reserve,5927312.80261242,592.7312802612424
Robson Bight (Michael Bigg) Ecological Reserve,5761449.63652505,576.1449636525051
Malaspina Park,5755549.76687439,575.5549766874387
High Lakes Basin Park,5700320.46243125,570.0320462431253
Denman Island Park,5611376.48573362,561.1376485733618
Lowe Inlet Marine Park,5559073.57848224,555.9073578482238
Cougar Canyon Ecological Reserve,5531641.05666447,553.1641056664466
Takla Lake Marine Park,5503028.94471686,550.3028944716863
God'S Pocket Marine Park,5500462.00884487,550.0462008844866
Patsuk Creek Ecological Reserve,5381898.3422991,538.1898342299104
Mackinnon Esker Ecological Reserve,5362519.3314654,536.2519331465402
Ruckle Park,5324820.31084699,532.4820310846989
Lawn Point Park,5217977.09022964,521.7977090229641
Codville Lagoon Marine Park,5198430.54658917,519.8430546589166
Babine Lake Marine Park,5193979.78027624,519.3979780276243
North Thompson Oxbows Manteau Park,5139450.34144263,513.9450341442626
Stellako River Wildlife Management Area,5097448.68223455,509.74486822345483
Sunbeam Creek Ecological Reserve,5078618.03340006,507.86180334000585
